Country Code,year,gdp
ABW,1960,0.0
AFG,1960,537777811.111111
AGO,1960,0.0
ALB,1960,0.0
AND,1960,0.0
ARE,1960,0.0
ARG,1960,0.0
ARM,1960,0.0
ASM,1960,0.0
ATG,1960,0.0
AUS,1960,18605666927.9875
AUT,1960,6592693841.18495
AZE,1960,0.0
BDI,1960,195999990.0
BEL,1960,11658722590.99
BEN,1960,226195579.35701
BFA,1960,330442817.168859
BGD,1960,4274893913.49536
BGR,1960,0.0
BHR,1960,0.0
BHS,1960,169803921.568627
BIH,1960,0.0
BLR,1960,0.0
BLZ,1960,28071888.5622288
BMU,1960,84466654.0769119
BOL,1960,373879363.595386
BRA,1960,17030465539.3906
BRB,1960,0.0
BRN,1960,0.0
BTN,1960,0.0
BWA,1960,30412308.9864012
CAF,1960,112155598.949571
CAN,1960,40461721692.6468
CHE,1960,9522746719.21614
CHL,1960,4110000000.0
CHN,1960,59716467625.3148
CIV,1960,546203561.571989
CMR,1960,614206071.002235
COD,1960,3359404117.64706
COG,1960,131731862.568997
COL,1960,4031152976.63904
COM,1960,0.0
CPV,1960,0.0
CRI,1960,507513829.994855
CUB,1960,0.0
CUW,1960,0.0
CYM,1960,0.0
CYP,1960,0.0
CZE,1960,0.0
DEU,1960,0.0
DJI,1960,0.0
DMA,1960,0.0
DNK,1960,0.0
DOM,1960,672399700.0
DZA,1960,2723593384.78054
ECU,1960,2069465326.42335
EGY,1960,0.0
ERI,1960,0.0
ESP,1960,12072126075.397
EST,1960,0.0
ETH,1960,0.0
FIN,1960,5224102195.52771
FJI,1960,112328422.113084
FRA,1960,62225478000.8822
FRO,1960,0.0
FSM,1960,0.0
GAB,1960,141468978.376811
GBR,1960,73233967692.1028
GEO,1960,0.0
GHA,1960,1217086834.73389
GIB,1960,0.0
GIN,1960,0.0
GMB,1960,0.0
GNB,1960,0.0
GNQ,1960,0.0
GRC,1960,4335186016.83942
GRD,1960,0.0
GRL,1960,0.0
GTM,1960,1043599900.0
GUM,1960,0.0
GUY,1960,170215248.206265
HKG,1960,1320796651.69457
HND,1960,335650000.0
HRV,1960,0.0
HTI,1960,273187200.0
HUN,1960,0.0
IDN,1960,0.0
IMN,1960,0.0
IND,1960,37029883876.1839
IRL,1960,1939329775.43739
IRN,1960,4199134389.9037
IRQ,1960,1684121534.58415
ISL,1960,248434096.968726
ISR,1960,2598500000.0
ITA,1960,40385288344.1911
JAM,1960,699050678.98642
JOR,1960,0.0
JPN,1960,44307342950.4
KAZ,1960,0.0
KEN,1960,791265458.818076
KGZ,1960,0.0
KHM,1960,637142865.714286
KIR,1960,0.0
KNA,1960,12366563.6119699
KOR,1960,3958824423.99818
KWT,1960,0.0
LAO,1960,0.0
LBN,1960,0.0
LBR,1960,0.0
LBY,1960,0.0
LCA,1960,0.0
LIE,1960,0.0
LKA,1960,1409873949.57983
LSO,1960,34579308.4138317
LTU,1960,0.0
LUX,1960,703925705.942958
LVA,1960,0.0
MAC,1960,0.0
MAF,1960,0.0
MAR,1960,2037150716.33238
MCO,1960,0.0
MDA,1960,0.0
MDG,1960,673081724.083139
MDV,1960,0.0
MEX,1960,13040000000.0
MHL,1960,0.0
MKD,1960,0.0
MLI,1960,0.0
MLT,1960,0.0
MMR,1960,0.0
MNE,1960,0.0
MNG,1960,0.0
MNP,1960,0.0
MOZ,1960,0.0
MRT,1960,0.0
MUS,1960,0.0
MWI,1960,162956740.865183
MYS,1960,1916241996.60264
NAM,1960,0.0
NCL,1960,0.0
NER,1960,449526872.562553
NGA,1960,4196092258.15484
NIC,1960,223854666.666667
NLD,1960,12276734172.0828
NOR,1960,5163271598.15702
NPL,1960,508334413.965087
NRU,1960,0.0
NZL,1960,5485854791.97096
OMN,1960,0.0
PAK,1960,3749265014.69971
PAN,1960,537147100.0
PER,1960,2571908062.08791
PHL,1960,7515886650.62035
PLW,1960,0.0
PNG,1960,230496032.981216
POL,1960,0.0
